Good 5403

5403;86023;03/01/2014;70;Out;None
5403;86024;04/01/2014;10;Out;None
5403;86025;04/01/2014;20;Out;None
5403;86026;04/01/2014;50;In;None
5403;86027;04/01/2014;15;In;None
5403;86028;04/01/2014;12;In;
5403;86029;04/01/2014;15;In;
5403;86030;04/01/2014;14;In;
5403;86059;10/01/2014;12;Out;None
5403;86061;10/01/2014;14;Out;None
5403;86062;10/01/2014;10;Out;None
5403;86063;10/01/2014;20;Out;None
5403;86064;11/01/2014;10;Out;None
5403;86065;11/01/2014;15;Out;None
5403;86069;14/01/2014;12;Out;None
5403;86070;14/01/2014;12;Out;None
5403;86095;16/01/2014;50;Out;None
5403;86096;16/01/2014;13;Out;None
5403;86097;17/01/2014;22;Out;None
5403;86098;17/01/2014;14;Out;None
5403;86099;18/01/2014;10;Out;None
5403;86100;19/01/2014;20;Out;None
5403;86101;19/01/2014;10;In;None
5403;86102;19/01/2014;15;In;None
5403;86103;19/01/2014;12;In;None
5403;86104;19/01/2014;15;In;None
5403;86105;19/01/2014;14;In;None
5403;86106;20/01/2014;12;In;None
5403;86131;26/01/2014;15;Out;None
5403;86132;27/01/2014;14;Out;None
5403;86133;27/01/2014;12;Out;None
5403;86135;27/01/2014;10;Out;None
5403;86136;27/01/2014;50;Out;None
5403;86137;27/01/2014;17;Out;None
5403;86138;28/01/2014;70;In;None
5403;86139;28/01/2014;10;In;None
5403;86140;28/01/2014;20;In;None
5403;86141;28/01/2014;50;In;None
5403;86142;28/01/2014;15;In;None
