Good 5402

5402;86011;01/01/2014;10;In;None
5402;86012;01/01/2014;20;In;None
5402;86013;02/01/2014;10;In;None
5402;86014;02/01/2014;15;Out;None
5402;86015;02/01/2014;12;Out;None
5402;86016;03/01/2014;15;Out;None
5402;86017;03/01/2014;14;Out;None
5402;86018;03/01/2014;12;Out;None
5402;86047;06/01/2014;15;In;None
5402;86048;06/01/2014;12;In;None
5402;86049;06/01/2014;15;In;None
5402;86058;10/01/2014;15;Out;None
5402;86083;15/01/2014;15;In;None
5402;86084;15/01/2014;14;Out;None
5402;86085;15/01/2014;10;In;None
5402;86087;15/01/2014;10;In;No Comments
5402;86088;15/01/2014;15;Out;None
5402;86089;15/01/2014;12;In;None
5402;86090;16/01/2014;15;Out;None
5402;86091;16/01/2014;14;Out;None
5402;86092;16/01/2014;12;In;None
5402;86093;16/01/2014;12;Out;None
5402;86094;16/01/2014;10;Out;None
5402;86119;22/01/2014;14;Out;None
5402;86120;22/01/2014;10;Out;None
5402;86121;22/01/2014;20;Out;None
5402;86122;22/01/2014;10;Out;None
5402;86123;22/01/2014;15;Out;None
5402;86124;22/01/2014;12;Out;None
5402;86125;22/01/2014;15;Out;None
5402;86126;22/01/2014;14;Out;None
5402;86127;23/01/2014;12;Out;None
5402;86128;24/01/2014;12;Out;None
5402;86129;25/01/2014;10;Out;None
5402;86130;26/01/2014;12;Out;None
